course_id,round_number,hole_number,par_value,yards,scoring_average,scoring_average_diff,scoring_average_tendency,eagles,birdies,pars,bogeys,double_bogeys,rank,hole_image,hole_pickle_green_left_to_right
776,,1,4,417,4.041,+0.041,ABOVE,1,41,197,50,1,9,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole1.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_1.jpg"
776,,2,4,415,4.261,+0.261,ABOVE,0,33,172,65,19,2,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole2.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_2.jpg"
776,,3,3,204,3.158,+0.158,ABOVE,0,28,193,66,4,3,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole3.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_3.jpg"
776,,4,4,429,4.282,+0.282,ABOVE,0,30,175,69,12,1,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole4.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_4.jpg"
776,,5,4,409,3.969,-0.031,BELOW,0,61,192,27,8,13,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole5.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_5.jpg"
776,,6,3,179,2.852,-0.148,BELOW,0,65,204,22,0,16,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole6.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_6.jpg"
776,,7,5,582,4.725,-0.275,BELOW,5,113,140,25,6,17,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole7.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_7.jpg"
776,,8,4,368,3.880,-0.120,BELOW,0,75,179,34,3,15,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole8.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_8.jpg"
776,,9,4,452,4.041,+0.041,ABOVE,0,35,212,41,3,9,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole9.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_9.jpg"
776,,10,4,418,4.155,+0.155,ABOVE,0,39,182,58,10,4,"https://res.cloudinary.com/pgatour-prod/ar_0.667,c_crop/d_placeholders:tournamentBackgroundSolid.png/pgatour/courses/r493/776/holes/hole10.jpg","https://pga-tour-res.cloudinary.com/image/upload/c_fill,b_rgb:ffffff,w_1500,q_auto/holes_2024_r_493_776_overhead_green_10.jpg"
