"course_id","facility_name","course_name","city","state","course_details_path"
11318,"Alpine Bay Golf Club","Alpine Bay Golf Club","Alpine","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11318"
11385,"Andalusia Country Club","Andalusia Country Club","Andalusia","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11385"
11323,"Anniston Country Club","Anniston Country Club","Anniston","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11323"
11399,"Aroostook Golf Course","Aroostook Golf Course - Kolomi","Montgomery","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11399"
11328,"Arrowhead Country Club","Arrowhead Country Club","Montgomery","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11328"
11270,"Auburn University Club","Auburn University Club","Auburn","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11270"
11268,"Azalea City Golf Course","Azalea City Golf Course","Mobile","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11268"
11378,"Ballantrae Golf Club","Ballantrae Golf Club","Pelham","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11378"
11279,"Bent Brook Golf Course","Bent Brook Golf Course - Brook/Graveyard","Bessemer","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11279"
17721,"Bent Brook Golf Course","Bent Brook Golf Course - Brook/Windmill","Bessemer","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=17721"
11280,"Bent Brook Golf Course","Bent Brook Golf Course - Graveyard/Windmill","Bessemer","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11280"
11263,"Big Spring Lake Country Club","Big Spring Lake Country Club","Albertville","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11263"
18071,"Blackberry Trail","Blackberry Trail","Florence","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=18071"
11322,"Burningtree Country Club","Burningtree Country Club","Decatur","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11322"
14990,"Cambrian Ridge Golf Course","Cambrian Ridge Golf Course - Canyon/Loblolly","Greenville","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=14990"
14988,"Cambrian Ridge Golf Course","Cambrian Ridge Golf Course - Loblolly/Sherling","Greenville","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=14988"
14989,"Cambrian Ridge Golf Course","Cambrian Ridge Golf Course - Sherling/Canyon","Greenville","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=14989"
11335,"Cane Creek Golf Course","Cane Creek Golf Course","Anniston","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11335"
11348,"Canebrake Golf Club","Canebrake Golf Club","Athens","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11348"
11277,"Capitol Hill Golf Course","Capitol Hill Golf Course - Judge","Prattville","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11277"
11276,"Capitol Hill Golf Course","Capitol Hill Golf Course - Legislator","Prattville","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11276"
11278,"Capitol Hill Golf Course","Capitol Hill Golf Course - Senator","Prattville","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11278"
11374,"Castle Pines Country Club","Castle Pines Country Club","Gardendale","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11374"
11301,"Cherokee Ridge Country Club","Cherokee Ridge Country Club","Union Grove","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11301"
14951,"Cider Ridge Golf Club","Cider Ridge Golf Club","Oxford","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=14951"
11406,"Clear Creek Golf Club","Clear Creek Golf Club","Boaz","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11406"
11407,"Colonial Golf Club","Colonial Golf Club","Meridianville","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11407"
11382,"Coosa Pines Country Club","Coosa Pines Country Club","Childersburg","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11382"
11370,"Country Club of Birmingham","Country Club of Birmingham - East Course","Birmingham","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11370"
11271,"Country Club of Birmingham","Country Club of Birmingham - West Course","Birmingham","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11271"
14758,"Country Club of Mobile","Country Club of Mobile - CC of Mobile","Mobile","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=14758"
20907,"Craft Farms","Craft Farms - Cotton Creek","Gulf Shores","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=20907"
11401,"Craft Farms","Craft Farms - Cypress Bend","Gulf Shores","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11401"
14168,"Cross Creek Golf Course","Cross Creek Golf Course","Hanceville","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=14168"
11294,"Cumberland Lake Golf Course","Cumberland Lake Golf Course","Pinson","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11294"
11269,"Cypress Lakes","Cypress Lakes","Muscle Shoals","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11269"
11333,"Demopolis Country Club","Demopolis Country Club","Demoplois","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11333"
14887,"Dothan Country Club","Dothan Country Club","Dothan","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=14887"
34073,"Elba Country Club","Elba Country Club","Elba","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=34073"
31839,"Emerald Mountain Golf Club","Emerald Mountain Golf Club","Wetumpka","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=31839"
11388,"Enterprise Country Club","Enterprise Country Club","Enterprise","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11388"
11362,"Eufaula Country Club","Eufaula Country Club","Eufaula","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11362"
11313,"FarmLinks Golf Club","FarmLinks Golf Club","Sylacauga","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11313"
11319,"Gadsden Country Club","Gadsden Country Club","Gadsden","AL","https://ncrdb.usga.org/courseTeeInfo?CourseID=11319"
