YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
2021,0,27095,Nick Watney,2.5,20,8
2021,0,26499,Rafa Cabrera Bello,2.545,28,11
2021,0,29970,Dylan Frittelli,2.563,41,16
2021,0,29725,Tony Finau,2.571,36,14
2021,0,12716,Charley Hoffman,2.571,36,14
2021,0,46046,Scottie Scheffler,2.6,52,20
2021,0,39975,Michael Kim,2.636,29,11
2021,0,24357,K.J. Choi,2.667,24,9
2021,0,26758,David Hearn,2.667,32,12
2021,0,30926,Chris Kirk,2.667,48,18
2021,0,32640,Troy Merritt,2.667,56,21
2021,0,22405,Justin Rose,2.667,16,6
2021,0,35891,Cameron Smith,2.667,32,12
2021,0,29268,Bronson Burgoon,2.692,35,13
2021,0,22056,Cameron Percy,2.706,46,17
2021,0,53165,Doc Redman,2.706,46,17
2021,0,25632,Jimmy Walker,2.706,46,17
2021,0,32102,Rickie Fowler,2.714,38,14
2021,0,33399,Adam Hadwin,2.714,38,14
2021,0,39324,J.J. Spaun,2.714,38,14
2021,0,25493,Nick Taylor,2.722,49,18
2021,0,48045,Michael Gellerman,2.727,30,11
2021,0,32662,Michael Gligic,2.727,30,11
2021,0,40026,Daniel Berger,2.737,52,19
2021,0,31646,Emiliano Grillo,2.75,33,12
2021,0,39977,Max Homa,2.75,55,20
2021,0,34174,John Huh,2.75,33,12
2021,0,45486,Joaquin Niemann,2.75,55,20
2021,0,27942,Rob Oppenheim,2.75,33,12
2021,0,34563,Chesson Hadley,2.769,36,13
2021,0,23983,Luke Donald,2.778,25,9
2021,0,27936,Martin Laird,2.778,50,18
2021,0,32254,Xinjun Zhang,2.778,25,9
2021,0,30925,Dustin Johnson,2.786,39,14
2021,0,27129,Luke List,2.789,53,19
2021,0,33204,Shane Lowry,2.789,53,19
2021,0,33419,Cameron Tringale,2.789,53,19
2021,0,33404,Chris Baker,2.8,28,10
2021,0,26300,Matt Jones,2.8,70,25
2021,0,34466,Peter Malnati,2.8,42,15
2021,0,36699,Patrick Rodgers,2.81,59,21
2021,0,27064,Jhonattan Vegas,2.81,59,21
2021,0,20229,Stewart Cink,2.813,45,16
2021,0,36689,Brooks Koepka,2.813,45,16
2021,0,33122,Russell Knox,2.818,62,22
2021,0,26329,Louis Oosthuizen,2.818,31,11
2021,0,30927,Brendon Todd,2.818,31,11
2021,0,28252,Seamus Power,2.824,48,17
2021,0,36801,Mark Hubbard,2.826,65,23
2021,0,39971,Sungjae Im,2.828,82,29
2021,0,28679,Fabián Gómez,2.833,34,12
2021,0,24924,Bill Haas,2.833,17,6
2021,0,29420,Billy Horschel,2.833,34,12
2021,0,33486,Roger Sloan,2.833,51,18
2021,0,37189,Harold Varner III,2.833,51,18
2021,0,34046,Jordan Spieth,2.842,54,19
2021,0,39997,Corey Conners,2.85,57,20
2021,0,49298,Kramer Hickok,2.857,60,21
2021,0,24024,Zach Johnson,2.857,60,21
2021,0,30944,Jason Kokrak,2.857,40,14
2021,0,27349,Alex Noren,2.857,60,21
2021,0,48119,Ben Taylor,2.857,20,7
2021,0,49964,Aaron Wise,2.864,63,22
2021,0,33597,Harry Higgs,2.867,43,15
2021,0,34431,Robert Streb,2.867,43,15
2021,0,32791,K.H. Lee,2.87,66,23
2021,0,34099,Harris English,2.875,46,16
2021,0,29535,Brice Garnett,2.875,46,16
2021,0,46717,Viktor Hovland,2.882,49,17
2021,0,32816,Satoshi Kodaira,2.882,49,17
2021,0,24140,Sean O'Hair,2.882,49,17
2021,0,32757,Patton Kizzire,2.885,75,26
2021,0,35532,Tom Hoge,2.889,52,18
2021,0,49766,Hank Lebioda,2.889,52,18
2021,0,35230,Nelson Ledesma,2.889,26,9
2021,0,33413,Ben Martin,2.889,26,9
2021,0,27214,Kevin Streelman,2.889,52,18
2021,0,35506,Mackenzie Hughes,2.895,55,19
2021,0,35104,Tom Lewis,2.895,55,19
2021,0,48822,Sebastián Muñoz,2.895,55,19
2021,0,49960,Sepp Straka,2.895,55,19
2021,0,23108,Matt Kuchar,2.9,29,10
2021,0,35310,Lanto Griffin,2.909,64,22
2021,0,24361,Pat Perez,2.909,64,22
