YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
2021,0,27770,Camilo Villegas,3.95,79,20
2021,0,46046,Scottie Scheffler,3.971,278,70
2021,0,28420,Ryan Brehm,4.0,52,13
2021,0,21209,Sergio Garcia,4.0,308,77
2021,0,22056,Cameron Percy,4.0,80,20
2021,0,20396,Lee Westwood,4.0,252,63
2021,0,33448,Justin Thomas,4.012,325,81
2021,0,50525,Collin Morikawa,4.014,285,71
2021,0,26331,Charl Schwartzel,4.016,253,63
2021,0,52372,Cameron Champ,4.018,221,55
2021,0,46717,Viktor Hovland,4.036,226,56
2021,0,46970,Jon Rahm,4.038,319,79
2021,0,51894,Vince Whaley,4.045,89,22
2021,0,34046,Jordan Spieth,4.047,259,64
2021,0,35450,Patrick Cantlay,4.051,316,78
2021,0,33667,Carlos Ortiz,4.055,223,55
2021,0,28237,Rory McIlroy,4.056,288,71
2021,0,47504,Sam Burns,4.057,142,35
2021,0,34098,Russell Henley,4.058,280,69
2021,0,36699,Patrick Rodgers,4.062,264,65
2021,0,29725,Tony Finau,4.065,252,62
2021,0,23325,Vaughn Taylor,4.067,61,15
2021,0,33141,Keegan Bradley,4.069,118,29
2021,0,40026,Daniel Berger,4.071,346,85
2021,0,24361,Pat Perez,4.071,114,28
2021,0,46402,Talor Gooch,4.074,110,27
2021,0,56278,Matthew Wolff,4.078,261,64
2021,0,49766,Hank Lebioda,4.08,102,25
2021,0,47993,Denny McCarthy,4.083,98,24
2021,0,28089,Jason Day,4.087,94,23
2021,0,26329,Louis Oosthuizen,4.09,274,67
2021,0,26476,Chez Reavie,4.091,270,66
2021,0,34099,Harris English,4.1,369,90
2021,0,27141,J.B. Holmes,4.1,41,10
2021,0,29974,Branden Grace,4.103,238,58
2021,0,33122,Russell Knox,4.107,115,28
2021,0,23983,Luke Donald,4.111,74,18
2021,0,27649,Brandt Snedeker,4.111,111,27
2021,0,27214,Kevin Streelman,4.111,296,72
2021,0,32662,Michael Gligic,4.12,103,25
2021,0,48081,Xander Schauffele,4.122,338,82
2021,0,30925,Dustin Johnson,4.125,330,80
2021,0,27974,Sung Kang,4.125,198,48
2021,0,33419,Cameron Tringale,4.125,66,16
2021,0,37189,Harold Varner III,4.13,95,23
2021,0,25364,Paul Casey,4.131,252,61
2021,0,27095,Nick Watney,4.133,62,15
2021,0,34360,Patrick Reed,4.134,339,82
2021,0,29420,Billy Horschel,4.138,240,58
2021,0,26851,Marc Leishman,4.141,294,71
2021,0,47959,Bryson DeChambeau,4.146,340,82
2021,0,29926,Danny Lee,4.15,83,20
2021,0,39953,Chase Seiffert,4.15,83,20
2021,0,34563,Chesson Hadley,4.152,137,33
2021,0,35532,Tom Hoge,4.153,245,59
2021,0,30110,Kyle Stanley,4.158,79,19
2021,0,29908,C.T. Pan,4.16,104,25
2021,0,34255,Joseph Bramlett,4.167,75,18
2021,0,32333,Kevin Tway,4.167,100,24
2021,0,40006,Erik van Rooyen,4.167,250,60
2021,0,51766,Wyndham Clark,4.171,171,41
2021,0,36689,Brooks Koepka,4.179,234,56
2021,0,33413,Ben Martin,4.182,92,22
2021,0,33948,Byeong Hun An,4.185,113,27
2021,0,35461,Beau Hossler,4.185,113,27
2021,0,23108,Matt Kuchar,4.186,180,43
2021,0,39997,Corey Conners,4.188,201,48
2021,0,46442,Maverick McNealy,4.188,67,16
2021,0,48119,Ben Taylor,4.188,67,16
2021,0,25493,Nick Taylor,4.189,155,37
2021,0,46435,Austin Cook,4.19,88,21
2021,0,25804,Bubba Watson,4.192,306,73
2021,0,39971,Sungjae Im,4.194,411,98
2021,0,45486,Joaquin Niemann,4.195,365,87
2021,0,30944,Jason Kokrak,4.197,256,61
2021,0,25396,Kevin Na,4.2,252,60
2021,0,53165,Doc Redman,4.2,63,15
2021,0,27936,Martin Laird,4.204,206,49
2021,0,35506,Mackenzie Hughes,4.205,328,78
2021,0,35891,Cameron Smith,4.207,244,58
2021,0,33404,Chris Baker,4.211,240,57
2021,0,28775,Nate Lashley,4.211,80,19
2021,0,29221,Webb Simpson,4.211,240,57
2021,0,31323,Gary Woodland,4.212,278,66
2021,0,32839,Hideki Matsuyama,4.216,371,88
2021,0,29518,Brendan Steele,4.216,156,37
2021,0,19803,Ryan Armour,4.217,97,23
2021,0,56762,Will Gordon,4.217,97,23
2021,0,20229,Stewart Cink,4.218,329,78
2021,0,26300,Matt Jones,4.222,304,72
2021,0,32139,Danny Willett,4.222,38,9
2021,0,12716,Charley Hoffman,4.224,207,49
2021,0,48887,Matt Wallace,4.225,169,40
2021,0,34431,Robert Streb,4.226,131,31
2021,0,35310,Lanto Griffin,4.23,368,87
2021,0,34363,Tyrrell Hatton,4.231,165,39
2021,0,47347,Adam Schenk,4.231,110,26
2021,0,32254,Xinjun Zhang,4.231,55,13
2021,0,25900,Lucas Glover,4.233,127,30
2021,0,32757,Patton Kizzire,4.233,127,30
2021,0,48822,Sebastián Muñoz,4.234,271,64
2021,0,32150,Michael Thompson,4.234,199,47
2021,0,47483,Will Zalatoris,4.234,199,47
2021,0,33399,Adam Hadwin,4.236,305,72
2021,0,30927,Brendon Todd,4.237,250,59
2021,0,30926,Chris Kirk,4.238,89,21
2021,0,34466,Peter Malnati,4.238,178,42
2021,0,27644,Brian Harman,4.24,318,75
2021,0,45157,Cam Davis,4.241,123,29
2021,0,37455,Si Woo Kim,4.242,280,66
2021,0,29478,Kevin Kisner,4.243,314,74
2021,0,24502,Adam Scott,4.244,348,82
2021,0,29970,Dylan Frittelli,4.25,238,56
2021,0,21961,Charles Howell III,4.25,102,24
