YEAR,MOVEMENT,PLAYER_ID,PLAYER,PUTTS MADE
2024,0,46046,Scottie Scheffler,7.7
2024,0,35450,Patrick Cantlay,7.1
2024,0,51766,Wyndham Clark,7.1
2024,0,51977,Max Greyserman,7.1
2024,0,46717,Viktor Hovland,7.1
2024,0,47993,Denny McCarthy,7.1
2024,0,52955,Ludvig Åberg,6.9
2024,0,48081,Xander Schauffele,6.8
2024,0,40006,Erik van Rooyen,6.8
2024,0,47504,Sam Burns,6.7
2024,0,33204,Shane Lowry,6.7
2024,0,51634,Sahith Theegala,6.7
2024,0,39997,Corey Conners,6.6
2024,0,33653,Thomas Detry,6.6
2024,0,29725,Tony Finau,6.6
2024,0,34098,Russell Henley,6.6
2024,0,28237,Rory McIlroy,6.6
2024,0,35532,Tom Hoge,6.5
2024,0,40162,Justin Lower,6.5
2024,0,39327,Ben Silverman,6.5
2024,0,45522,Christiaan Bezuidenhout,6.4
2024,0,29420,Billy Horschel,6.4
2024,0,55182,Tom Kim,6.4
2024,0,29936,Ryan Fox,6.3
2024,0,24502,Adam Scott,6.3
2024,0,55893,Sam Stevens,6.3
2024,0,31646,Emiliano Grillo,6.2
2024,0,35461,Beau Hossler,6.2
2024,0,46442,Maverick McNealy,6.2
2024,0,57366,Cameron Young,6.2
2024,0,33141,Keegan Bradley,6.1
2024,0,34099,Harris English,6.1
2024,0,39971,Sungjae Im,6.1
2024,0,30927,Brendon Todd,6.1
2024,0,30911,Tommy Fleetwood,6.0
2024,0,27644,Brian Harman,6.0
2024,0,48153,Matthieu Pavon,6.0
2024,0,40250,Taylor Pendrith,6.0
2024,0,28252,Seamus Power,6.0
2024,0,50484,Hayden Springer,6.0
2024,0,33948,Byeong Hun An,5.9
2024,0,28089,Jason Day,5.9
2024,0,40098,Matt Fitzpatrick,5.9
2024,0,32839,Hideki Matsuyama,5.9
2024,0,27349,Alex Noren,5.9
2024,0,32102,Rickie Fowler,5.8
2024,0,49947,Taylor Moore,5.8
2024,0,47679,Victor Perez,5.8
2024,0,49771,J.T. Poston,5.8
2024,0,56630,Akshay Bhatia,5.7
2024,0,32366,Kevin Chappell,5.7
2024,0,33399,Adam Hadwin,5.7
2024,0,51287,Ryo Hisatsune,5.7
2024,0,35506,Mackenzie Hughes,5.7
2024,0,24024,Zach Johnson,5.7
