YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
2024,1,0,46046,Scottie Scheffler,27.93%,377,1350,3
2024,2,0,39546,Keith Mitchell,25.82%,395,1530,23
2024,3,0,57975,Harry Hall,25.77%,385,1494,108
2024,4,0,47504,Sam Burns,25.69%,356,1386,153
2024,5,0,48084,Wesley Bryan,25.33%,228,900,41
2024,6,0,60004,Jacob Bridgeman,25.27%,373,1476,64
2024,7,0,60067,Joe Highsmith,25.15%,335,1332,25
2024,8,0,51977,Max Greyserman,25.10%,366,1458,60
2024,9,0,39975,Michael Kim,24.97%,382,1530,28
2024,10,0,51766,Wyndham Clark,24.88%,318,1278,140
2024,11,0,48081,Xander Schauffele,24.77%,370,1494,35
2024,12,0,59866,Nick Dunlap,24.73%,316,1278,157
2024,13,0,40250,Taylor Pendrith,24.68%,351,1422,97
2024,14,0,32757,Patton Kizzire,24.62%,288,1170,7
2024,15,0,52514,Trace Crowe,24.49%,313,1278,103
2024,16,0,50484,Hayden Springer,24.37%,329,1350,48
2024,16,0,27064,Jhonattan Vegas,24.37%,329,1350,6
2024,18,0,29725,Tony Finau,24.36%,364,1494,52
2024,19,0,51696,Rico Hoey,24.33%,381,1566,16
2024,19,0,46442,Maverick McNealy,24.33%,416,1710,78
2024,19,0,50525,Collin Morikawa,24.33%,346,1422,143
2024,19,0,57900,Chandler Phillips,24.33%,381,1566,139
2024,23,0,52955,Ludvig Åberg,24.30%,328,1350,73
2024,24,0,48867,Matti Schmid,24.28%,354,1458,42
2024,25,0,46717,Viktor Hovland,24.27%,249,1026,83
2024,26,0,40162,Justin Lower,24.26%,441,1818,43
2024,27,0,51349,Nico Echavarria,24.21%,401,1656,30
2024,28,0,12716,Charley Hoffman,24.20%,318,1314,98
2024,28,0,52513,Carson Young,24.20%,392,1620,44
2024,30,0,37275,Sam Ryder,24.19%,344,1422,82
2024,31,0,35461,Beau Hossler,24.16%,387,1602,45
2024,32,0,35532,Tom Hoge,24.13%,456,1890,87
2024,33,0,33948,Byeong Hun An,24.07%,325,1350,89
2024,33,0,34587,Chan Kim,24.07%,364,1512,18
2024,35,0,39971,Sungjae Im,24.05%,394,1638,145
2024,36,0,55893,Sam Stevens,24.02%,441,1836,31
2024,37,0,54591,Ben Griffin,23.85%,498,2088,40
2024,38,0,40006,Erik van Rooyen,23.83%,356,1494,38
2024,39,0,50188,S.H. Kim,23.77%,462,1944,177
2024,40,0,51894,Vince Whaley,23.68%,324,1368,100
2024,41,0,59836,Pierceson Coody,23.66%,345,1458,58
2024,42,0,33448,Justin Thomas,23.63%,302,1278,135
2024,43,0,51634,Sahith Theegala,23.60%,395,1674,80
2024,44,0,51997,Andrew Novak,23.58%,365,1548,13
2024,44,0,58168,Davis Thompson,23.58%,399,1692,59
2024,46,0,36801,Mark Hubbard,23.57%,437,1854,72
2024,47,0,36799,Stephan Jaeger,23.49%,351,1494,123
2024,48,0,30163,Henrik Norlander,23.48%,279,1188,8
2024,49,0,38991,Alejandro Tosti,23.46%,304,1296,148
2024,50,0,49771,J.T. Poston,23.41%,375,1602,120
2024,51,0,54576,Patrick Fishburn,23.36%,307,1314,1
2024,52,0,39324,J.J. Spaun,23.33%,336,1440,16
2024,53,0,55182,Tom Kim,23.31%,344,1476,117
2024,54,0,35450,Patrick Cantlay,23.27%,289,1242,171
2024,54,0,28237,Rory McIlroy,23.27%,289,1242,134
2024,56,0,39997,Corey Conners,23.24%,364,1566,26
2024,57,0,46340,Alex Smalley,23.22%,326,1404,19
2024,58,0,28089,Jason Day,23.21%,305,1314,164
2024,59,0,33653,Thomas Detry,23.17%,292,1260,166
2024,59,0,35310,Lanto Griffin,23.17%,317,1368,5
2024,61,0,48887,Matt Wallace,23.13%,279,1206,46
2024,62,0,57366,Cameron Young,23.11%,337,1458,116
2024,63,0,37455,Si Woo Kim,23.07%,382,1656,137
2024,64,0,34046,Jordan Spieth,23.02%,290,1260,130
2024,64,0,50493,Justin Suh,23.02%,319,1386,96
2024,66,0,30926,Chris Kirk,22.98%,335,1458,133
2024,67,0,45242,Kevin Yu,22.94%,318,1386,10
2024,68,0,52375,Doug Ghim,22.93%,388,1692,4
