YEAR,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
2024,0,54591,Ben Griffin,19
2024,0,51696,Rico Hoey,19
2024,0,52955,Ludvig Åberg,16
2024,0,47504,Sam Burns,16
2024,0,51766,Wyndham Clark,16
2024,0,50188,S.H. Kim,16
2024,0,32791,K.H. Lee,16
2024,0,28252,Seamus Power,16
2024,0,35506,Mackenzie Hughes,15
2024,0,27129,Luke List,15
2024,0,48867,Matti Schmid,15
2024,0,46340,Alex Smalley,15
2024,0,40115,Adam Svensson,15
2024,0,40006,Erik van Rooyen,15
2024,0,57366,Cameron Young,15
2024,0,47591,Eric Cole,14
2024,0,39997,Corey Conners,14
2024,0,35310,Lanto Griffin,14
2024,0,36801,Mark Hubbard,14
2024,0,36326,David Lipsky,14
2024,0,55893,Sam Stevens,14
2024,0,55454,Carl Yuan,14
2024,0,52372,Cameron Champ,13
2024,0,32366,Kevin Chappell,13
2024,0,34099,Harris English,13
2024,0,47420,Jake Knapp,13
2024,0,46442,Maverick McNealy,13
2024,0,39546,Keith Mitchell,13
2024,0,50484,Hayden Springer,13
2024,0,48699,Callum Tarren,13
2024,0,38991,Alejandro Tosti,13
2024,0,48887,Matt Wallace,13
2024,0,37212,Paul Barjon,12
2024,0,34255,Joseph Bramlett,12
2024,0,51349,Nico Echavarria,12
2024,0,52375,Doug Ghim,12
2024,0,51977,Max Greyserman,12
2024,0,54421,Garrick Higgo,12
2024,0,35532,Tom Hoge,12
2024,0,37455,Si Woo Kim,12
2024,0,48117,Kurt Kitayama,12
2024,0,28775,Nate Lashley,12
2024,0,52666,Sami Valimaki,12
2024,0,27064,Jhonattan Vegas,12
2024,0,56630,Akshay Bhatia,11
2024,0,48084,Wesley Bryan,11
2024,0,47663,Kevin Dougherty,11
2024,0,29725,Tony Finau,11
2024,0,35461,Beau Hossler,11
2024,0,39975,Michael Kim,11
2024,0,37378,Min Woo Lee,11
2024,0,33204,Shane Lowry,11
2024,0,49947,Taylor Moore,11
2024,0,36871,Matt NeSmith,11
2024,0,51997,Andrew Novak,11
2024,0,48081,Xander Schauffele,11
2024,0,46046,Scottie Scheffler,11
2024,0,39327,Ben Silverman,11
2024,0,58168,Davis Thompson,11
2024,0,32333,Kevin Tway,11
2024,0,52513,Carson Young,11
2024,0,33948,Byeong Hun An,10
2024,0,60004,Jacob Bridgeman,10
2024,0,32070,Rafael Campos,10
2024,0,45609,Tyler Duncan,10
2024,0,59866,Nick Dunlap,10
2024,0,29936,Ryan Fox,10
2024,0,56149,Wilson Furr,10
2024,0,57975,Harry Hall,10
2024,0,60067,Joe Highsmith,10
2024,0,51287,Ryo Hisatsune,10
2024,0,29420,Billy Horschel,10
2024,0,34587,Chan Kim,10
2024,0,32839,Hideki Matsuyama,10
2024,0,27349,Alex Noren,10
2024,0,27214,Kevin Streelman,10
2024,0,51634,Sahith Theegala,10
2024,0,28420,Ryan Brehm,9
2024,0,32367,Jorge Campillo,9
2024,0,35450,Patrick Cantlay,9
2024,0,59836,Pierceson Coody,9
2024,0,50497,Adrien Dumont de Chassart,9
2024,0,28237,Rory McIlroy,9
2024,0,59143,Mac Meissner,9
2024,0,32640,Troy Merritt,9
2024,0,48153,Matthieu Pavon,9
2024,0,57900,Chandler Phillips,9
2024,0,46414,Aaron Rai,9
2024,0,37275,Sam Ryder,9
2024,0,47347,Adam Schenk,9
2024,0,39324,J.J. Spaun,9
2024,0,31323,Gary Woodland,9
2024,0,33408,Tyson Alexander,8
2024,0,25900,Lucas Glover,8
2024,0,31646,Emiliano Grillo,8
2024,0,34563,Chesson Hadley,8
2024,0,33399,Adam Hadwin,8
2024,0,55182,Tom Kim,8
2024,0,46113,Ryan McCormick,8
2024,0,47679,Victor Perez,8
2024,0,47995,Davis Riley,8
2024,0,24502,Adam Scott,8
2024,0,46441,Robby Shelton,8
2024,0,29221,Webb Simpson,8
2024,0,33486,Roger Sloan,8
2024,0,48319,Tom Whitney,8
2024,0,40026,Daniel Berger,7
2024,0,40058,Zac Blair,7
2024,0,34076,Joel Dahmen,7
2024,0,28089,Jason Day,7
2024,0,54576,Patrick Fishburn,7
2024,0,40098,Matt Fitzpatrick,7
2024,0,60767,Blaine Hale Jr.,7
2024,0,27644,Brian Harman,7
2024,0,36799,Stephan Jaeger,7
2024,0,36884,Ben Kohles,7
2024,0,52215,Robert MacIntyre,7
2024,0,34466,Peter Malnati,7
2024,0,47993,Denny McCarthy,7
2024,0,30163,Henrik Norlander,7
2024,0,29908,C.T. Pan,7
2024,0,40250,Taylor Pendrith,7
2024,0,47806,Raul Pereda,7
2024,0,49771,J.T. Poston,7
2024,0,34046,Jordan Spieth,7
2024,0,50493,Justin Suh,7
2024,0,25493,Nick Taylor,7
2024,0,52374,Brandon Wu,7
2024,0,45242,Kevin Yu,7
2024,0,22371,Aaron Baddeley,6
2024,0,33141,Keegan Bradley,6
2024,0,55708,Hayden Buckley,6
2024,0,52514,Trace Crowe,6
2024,0,57362,Austin Eckroat,6
2024,0,30911,Tommy Fleetwood,6
2024,0,29535,Brice Garnett,6
2024,0,39971,Sungjae Im,6
2024,0,29478,Kevin Kisner,6
2024,0,32757,Patton Kizzire,6
2024,0,23108,Matt Kuchar,6
2024,0,47983,Chad Ramey,6
2024,0,26476,Chez Reavie,6
2024,0,27139,David Skinns,6
2024,0,50095,Austin Smotherman,6
2024,0,48119,Ben Taylor,6
2024,0,30927,Brendon Todd,6
2024,0,51894,Vince Whaley,6
2024,0,47483,Will Zalatoris,6
2024,0,45522,Christiaan Bezuidenhout,5
2024,0,59442,Parker Coody,5
2024,0,33653,Thomas Detry,5
2024,0,59095,Chris Gotterup,5
2024,0,47988,Nick Hardy,5
2024,0,54628,Lee Hodges,5
2024,0,12716,Charley Hoffman,5
2024,0,39977,Max Homa,5
2024,0,46717,Viktor Hovland,5
2024,0,27936,Martin Laird,5
2024,0,40162,Justin Lower,5
2024,0,55789,Taylor Montgomery,5
2024,0,26596,Ryan Moore,5
2024,0,23320,Ryan Palmer,5
2024,0,36699,Patrick Rodgers,5
2024,0,27330,Josh Teater,5
